run,label,iter,agent,prediction,naive_prediction
0,7,22,agent_2,7,1
0,7,22,agent_3,1,1
0,7,22,agent_4,7,1
0,7,22,agent_5,1,1
0,7,22,agent_6,7,1
0,7,22,agent_7,7,5
0,7,22,agent_8,1,1
0,7,22,agent_9,7,7
0,7,23,agent_0,7,1
0,7,23,agent_1,7,7
0,7,23,agent_2,7,7
0,7,23,agent_3,1,1
0,7,23,agent_4,7,1
0,7,23,agent_5,1,1
0,7,23,agent_6,7,1
0,7,23,agent_7,7,5
0,7,23,agent_8,1,1
0,7,23,agent_9,7,7
0,7,24,agent_0,7,1
0,7,24,agent_1,7,7
0,7,24,agent_2,7,7
0,7,24,agent_3,7,1
0,7,24,agent_4,7,1
0,7,24,agent_5,1,1
0,7,24,agent_6,7,1
0,7,24,agent_7,7,5
0,7,24,agent_8,1,1
0,7,24,agent_9,7,7
0,7,25,agent_0,7,1
0,7,25,agent_1,7,7
0,7,25,agent_2,7,7
0,7,25,agent_3,7,1
0,7,25,agent_4,7,1
0,7,25,agent_5,1,1
0,7,25,agent_6,7,1
0,7,25,agent_7,7,5
0,7,25,agent_8,1,1
0,7,25,agent_9,7,7
0,7,26,agent_0,7,1
0,7,26,agent_1,7,7
0,7,26,agent_2,7,7
0,7,26,agent_3,7,1
0,7,26,agent_4,7,7
0,7,26,agent_5,1,1
0,7,26,agent_6,7,1
0,7,26,agent_7,7,5
0,7,26,agent_8,1,1
0,7,26,agent_9,7,7
0,7,27,agent_0,7,1
0,7,27,agent_1,7,7
0,7,27,agent_2,7,7
0,7,27,agent_3,7,1
0,7,27,agent_4,7,7
0,7,27,agent_5,1,1
0,7,27,agent_6,7,1
0,7,27,agent_7,7,5
0,7,27,agent_8,1,1
0,7,27,agent_9,7,7
0,7,28,agent_0,7,1
0,7,28,agent_1,7,7
0,7,28,agent_2,7,7
0,7,28,agent_3,7,1
0,7,28,agent_4,7,7
0,7,28,agent_5,1,1
0,7,28,agent_6,7,1
0,7,28,agent_7,7,5
0,7,28,agent_8,1,1
0,7,28,agent_9,7,7
0,7,29,agent_0,7,1
0,7,29,agent_1,7,7
0,7,29,agent_2,7,7
0,7,29,agent_3,7,1
0,7,29,agent_4,7,7
0,7,29,agent_5,1,1
0,7,29,agent_6,7,1
0,7,29,agent_7,7,5
0,7,29,agent_8,1,1
0,7,29,agent_9,7,7
0,7,30,agent_0,7,1
0,7,30,agent_1,7,7
0,7,30,agent_2,7,7
0,7,30,agent_3,7,1
0,7,30,agent_4,7,7
0,7,30,agent_5,1,1
0,7,30,agent_6,7,1
0,7,30,agent_7,7,5
0,7,30,agent_8,1,1
0,7,30,agent_9,7,7
0,7,31,agent_0,7,1
0,7,31,agent_1,7,7
0,7,31,agent_2,7,7
0,7,31,agent_3,7,1
0,7,31,agent_4,7,7
0,7,31,agent_5,1,1
0,7,31,agent_6,7,1
0,7,31,agent_7,7,5
0,7,31,agent_8,1,1
0,7,31,agent_9,7,7
0,7,32,agent_0,7,1
0,7,32,agent_1,7,7
0,7,32,agent_2,7,7
0,7,32,agent_3,7,1
0,7,32,agent_4,7,7
0,7,32,agent_5,1,1
0,7,32,agent_6,7,1
0,7,32,agent_7,7,5
0,7,32,agent_8,1,1
0,7,32,agent_9,7,7
0,7,33,agent_0,7,1
0,7,33,agent_1,7,7
0,7,33,agent_2,7,7
0,7,33,agent_3,7,1
0,7,33,agent_4,7,7
0,7,33,agent_5,1,1
0,7,33,agent_6,7,1
0,7,33,agent_7,7,5
0,7,33,agent_8,1,1
0,7,33,agent_9,7,7
0,7,34,agent_0,7,7
0,7,34,agent_1,7,7
0,7,34,agent_2,7,7
0,7,34,agent_3,7,1
0,7,34,agent_4,7,7
0,7,34,agent_5,1,1
0,7,34,agent_6,7,1
0,7,34,agent_7,7,5
0,7,34,agent_8,1,1
0,7,34,agent_9,7,7
0,7,35,agent_0,7,7
0,7,35,agent_1,7,7
0,7,35,agent_2,7,7
0,7,35,agent_3,7,1
0,7,35,agent_4,7,7
0,7,35,agent_5,1,1
0,7,35,agent_6,7,1
0,7,35,agent_7,7,5
0,7,35,agent_8,1,1
0,7,35,agent_9,7,7
0,7,36,agent_0,7,7
0,7,36,agent_1,7,7
0,7,36,agent_2,7,7
0,7,36,agent_3,7,1
0,7,36,agent_4,7,7
0,7,36,agent_5,1,1
0,7,36,agent_6,7,1
0,7,36,agent_7,7,5
0,7,36,agent_8,1,1
0,7,36,agent_9,7,7
0,7,37,agent_0,7,7
0,7,37,agent_1,7,7
0,7,37,agent_2,7,7
0,7,37,agent_3,7,1
0,7,37,agent_4,7,7
0,7,37,agent_5,1,1
0,7,37,agent_6,7,1
0,7,37,agent_7,7,5
0,7,37,agent_8,1,1
0,7,37,agent_9,7,7
0,7,38,agent_0,7,7
0,7,38,agent_1,7,7
0,7,38,agent_2,7,7
0,7,38,agent_3,7,1
0,7,38,agent_4,7,7
0,7,38,agent_5,1,1
0,7,38,agent_6,7,1
0,7,38,agent_7,7,5
0,7,38,agent_8,1,1
0,7,38,agent_9,7,7
0,7,39,agent_0,7,7
0,7,39,agent_1,7,7
0,7,39,agent_2,7,7
0,7,39,agent_3,7,1
0,7,39,agent_4,7,7
0,7,39,agent_5,1,1
0,7,39,agent_6,7,1
0,7,39,agent_7,7,5
0,7,39,agent_8,1,1
0,7,39,agent_9,7,7
0,7,40,agent_0,7,7
0,7,40,agent_1,7,7
0,7,40,agent_2,7,7
0,7,40,agent_3,7,1
0,7,40,agent_4,7,7
0,7,40,agent_5,1,1
0,7,40,agent_6,7,1
0,7,40,agent_7,7,5
0,7,40,agent_8,1,1
0,7,40,agent_9,7,7
0,7,41,agent_0,7,7
0,7,41,agent_1,7,7
0,7,41,agent_2,7,7
0,7,41,agent_3,7,1
0,7,41,agent_4,7,7
0,7,41,agent_5,1,1
0,7,41,agent_6,7,1
0,7,41,agent_7,7,5
0,7,41,agent_8,1,1
0,7,41,agent_9,7,7
0,7,42,agent_0,7,7
0,7,42,agent_1,7,7
0,7,42,agent_2,7,7
0,7,42,agent_3,7,1
0,7,42,agent_4,7,7
0,7,42,agent_5,1,1
0,7,42,agent_6,7,1
0,7,42,agent_7,7,5
0,7,42,agent_8,1,1
0,7,42,agent_9,7,7
0,7,43,agent_0,7,7
0,7,43,agent_1,7,7
0,7,43,agent_2,7,7
0,7,43,agent_3,7,1
0,7,43,agent_4,7,7
0,7,43,agent_5,1,1
0,7,43,agent_6,7,1
0,7,43,agent_7,7,5
0,7,43,agent_8,1,1
0,7,43,agent_9,7,7
0,7,44,agent_0,7,7
0,7,44,agent_1,7,7
0,7,44,agent_2,7,7
0,7,44,agent_3,7,1
0,7,44,agent_4,7,7
0,7,44,agent_5,1,1
0,7,44,agent_6,7,1
0,7,44,agent_7,7,5
0,7,44,agent_8,1,1
0,7,44,agent_9,7,7
0,7,45,agent_0,7,7
0,7,45,agent_1,7,7
0,7,45,agent_2,7,7
0,7,45,agent_3,7,1
0,7,45,agent_4,7,7
0,7,45,agent_5,1,1
0,7,45,agent_6,7,1
0,7,45,agent_7,7,5
0,7,45,agent_8,1,1
0,7,45,agent_9,7,7
0,7,46,agent_0,7,7
0,7,46,agent_1,7,7
0,7,46,agent_2,7,7
0,7,46,agent_3,7,1
0,7,46,agent_4,7,7
0,7,46,agent_5,1,1
0,7,46,agent_6,7,1
0,7,46,agent_7,7,5
0,7,46,agent_8,7,1
0,7,46,agent_9,7,7
0,7,47,agent_0,7,7
0,7,47,agent_1,7,7
0,7,47,agent_2,7,7
0,7,47,agent_3,7,1
0,7,47,agent_4,7,7
0,7,47,agent_5,1,1
0,7,47,agent_6,7,1
0,7,47,agent_7,7,5
0,7,47,agent_8,7,1
0,7,47,agent_9,7,7
0,7,48,agent_0,7,7
0,7,48,agent_1,7,7
0,7,48,agent_2,7,7
0,7,48,agent_3,7,1
0,7,48,agent_4,7,7
0,7,48,agent_5,1,1
0,7,48,agent_6,7,1
0,7,48,agent_7,7,5
0,7,48,agent_8,7,1
0,7,48,agent_9,7,7
0,7,49,agent_0,7,7
0,7,49,agent_1,7,7
0,7,49,agent_2,7,7
0,7,49,agent_3,7,1
0,7,49,agent_4,7,7
0,7,49,agent_5,1,1
0,7,49,agent_6,7,1
0,7,49,agent_7,7,5
0,7,49,agent_8,7,1
0,7,49,agent_9,7,7
0,7,50,agent_0,7,7
0,7,50,agent_1,7,7
0,7,50,agent_2,7,7
0,7,50,agent_3,7,1
0,7,50,agent_4,7,7
0,7,50,agent_5,1,1
0,7,50,agent_6,7,1
0,7,50,agent_7,7,5
0,7,50,agent_8,1,1
0,7,50,agent_9,7,7
0,7,51,agent_0,7,7
0,7,51,agent_1,7,7
0,7,51,agent_2,7,7
0,7,51,agent_3,7,1
0,7,51,agent_4,7,7
0,7,51,agent_5,1,1
0,7,51,agent_6,7,1
0,7,51,agent_7,7,5
0,7,51,agent_8,1,1
0,7,51,agent_9,7,7
0,7,52,agent_0,7,7
0,7,52,agent_1,7,7
0,7,52,agent_2,7,7
0,7,52,agent_3,7,1
0,7,52,agent_4,7,7
0,7,52,agent_5,1,1
0,7,52,agent_6,7,1
0,7,52,agent_7,7,5
0,7,52,agent_8,1,1
0,7,52,agent_9,7,7
0,7,53,agent_0,7,7
0,7,53,agent_1,7,7
0,7,53,agent_2,7,7
0,7,53,agent_3,7,1
0,7,53,agent_4,7,7
0,7,53,agent_5,1,1
0,7,53,agent_6,7,1
0,7,53,agent_7,7,5
0,7,53,agent_8,1,1
0,7,53,agent_9,7,7
0,7,54,agent_0,7,7
0,7,54,agent_1,7,7
0,7,54,agent_2,7,7
0,7,54,agent_3,7,1
0,7,54,agent_4,7,7
0,7,54,agent_5,1,1
0,7,54,agent_6,7,1
0,7,54,agent_7,7,5
0,7,54,agent_8,1,1
0,7,54,agent_9,7,7
0,7,55,agent_0,7,7
0,7,55,agent_1,7,7
0,7,55,agent_2,7,7
0,7,55,agent_3,7,1
0,7,55,agent_4,7,7
0,7,55,agent_5,1,1
0,7,55,agent_6,7,1
0,7,55,agent_7,7,5
0,7,55,agent_8,1,1
0,7,55,agent_9,7,7
0,7,56,agent_0,7,7
0,7,56,agent_1,7,7
0,7,56,agent_2,7,7
0,7,56,agent_3,7,1
0,7,56,agent_4,7,7
0,7,56,agent_5,1,1
0,7,56,agent_6,7,1
0,7,56,agent_7,7,5
0,7,56,agent_8,1,1
0,7,56,agent_9,7,7
0,7,57,agent_0,7,7
0,7,57,agent_1,7,7
0,7,57,agent_2,7,7
0,7,57,agent_3,7,1
0,7,57,agent_4,7,7
0,7,57,agent_5,1,1
0,7,57,agent_6,7,1
0,7,57,agent_7,7,5
0,7,57,agent_8,7,1
0,7,57,agent_9,7,7
0,7,58,agent_0,7,7
0,7,58,agent_1,7,7
0,7,58,agent_2,7,7
0,7,58,agent_3,7,1
0,7,58,agent_4,7,7
0,7,58,agent_5,1,1
0,7,58,agent_6,7,1
0,7,58,agent_7,7,5
0,7,58,agent_8,7,1
0,7,58,agent_9,7,7
0,7,59,agent_0,7,7
0,7,59,agent_1,7,7
0,7,59,agent_2,7,7
0,7,59,agent_3,7,1
0,7,59,agent_4,7,7
0,7,59,agent_5,1,1
0,7,59,agent_6,7,1
0,7,59,agent_7,7,5
0,7,59,agent_8,7,1
0,7,59,agent_9,7,7
0,7,60,agent_0,7,7
0,7,60,agent_1,7,7
0,7,60,agent_2,7,7
0,7,60,agent_3,7,1
0,7,60,agent_4,7,7
0,7,60,agent_5,1,1
0,7,60,agent_6,7,7
0,7,60,agent_7,7,5
0,7,60,agent_8,1,1
0,7,60,agent_9,7,7
0,7,61,agent_0,7,7
0,7,61,agent_1,7,7
0,7,61,agent_2,7,7
0,7,61,agent_3,7,1
0,7,61,agent_4,7,7
0,7,61,agent_5,1,1
0,7,61,agent_6,7,7
0,7,61,agent_7,7,5
0,7,61,agent_8,7,1
0,7,61,agent_9,7,7
0,7,62,agent_0,7,7
0,7,62,agent_1,7,7
0,7,62,agent_2,7,7
0,7,62,agent_3,7,1
0,7,62,agent_4,7,7
0,7,62,agent_5,1,1
0,7,62,agent_6,7,7
0,7,62,agent_7,7,5
0,7,62,agent_8,7,1
0,7,62,agent_9,7,7
0,7,63,agent_0,7,7
0,7,63,agent_1,7,7
0,7,63,agent_2,7,7
0,7,63,agent_3,7,1
0,7,63,agent_4,7,7
0,7,63,agent_5,1,1
0,7,63,agent_6,7,7
0,7,63,agent_7,7,5
0,7,63,agent_8,7,1
0,7,63,agent_9,7,5
0,7,64,agent_0,7,7
0,7,64,agent_1,7,7
0,7,64,agent_2,7,7
0,7,64,agent_3,7,1
0,7,64,agent_4,7,7
0,7,64,agent_5,1,1
0,7,64,agent_6,7,7
0,7,64,agent_7,7,5
0,7,64,agent_8,1,1
0,7,64,agent_9,7,7
0,7,65,agent_0,7,7
0,7,65,agent_1,7,7
0,7,65,agent_2,7,7
0,7,65,agent_3,7,1
0,7,65,agent_4,7,7
0,7,65,agent_5,1,1
0,7,65,agent_6,7,7
0,7,65,agent_7,7,5
0,7,65,agent_8,1,1
0,7,65,agent_9,7,7
0,7,66,agent_0,7,5
0,7,66,agent_1,7,7
0,7,66,agent_2,7,7
0,7,66,agent_3,7,1
0,7,66,agent_4,7,7
0,7,66,agent_5,1,1
0,7,66,agent_6,7,7
0,7,66,agent_7,7,5
0,7,66,agent_8,1,1
0,7,66,agent_9,7,7
0,7,67,agent_0,7,5
0,7,67,agent_1,7,7
0,7,67,agent_2,7,7
0,7,67,agent_3,7,1
0,7,67,agent_4,7,7
0,7,67,agent_5,1,1
0,7,67,agent_6,7,7
0,7,67,agent_7,7,5
0,7,67,agent_8,1,1
0,7,67,agent_9,7,7
0,7,68,agent_0,7,5
0,7,68,agent_1,7,7
0,7,68,agent_2,7,7
0,7,68,agent_3,7,1
0,7,68,agent_4,7,7
0,7,68,agent_5,1,1
0,7,68,agent_6,7,7
0,7,68,agent_7,7,5
0,7,68,agent_8,1,1
0,7,68,agent_9,7,7
0,7,69,agent_0,7,5
0,7,69,agent_1,7,7
0,7,69,agent_2,7,7
0,7,69,agent_3,7,1
0,7,69,agent_4,7,7
0,7,69,agent_5,1,1
0,7,69,agent_6,7,7
0,7,69,agent_7,7,5
0,7,69,agent_8,1,1
0,7,69,agent_9,7,7
0,7,70,agent_0,7,5
0,7,70,agent_1,7,7
0,7,70,agent_2,7,7
0,7,70,agent_3,7,1
0,7,70,agent_4,7,7
0,7,70,agent_5,1,1
0,7,70,agent_6,7,7
0,7,70,agent_7,7,5
0,7,70,agent_8,7,1
0,7,70,agent_9,7,7
0,7,71,agent_0,7,5
0,7,71,agent_1,7,7
0,7,71,agent_2,7,7
0,7,71,agent_3,7,1
0,7,71,agent_4,7,7
0,7,71,agent_5,1,1
0,7,71,agent_6,7,7
0,7,71,agent_7,7,5
0,7,71,agent_8,1,1
0,7,71,agent_9,7,7
0,7,72,agent_0,7,5
0,7,72,agent_1,7,7
0,7,72,agent_2,7,7
0,7,72,agent_3,7,1
0,7,72,agent_4,7,7
0,7,72,agent_5,1,1
0,7,72,agent_6,7,7
0,7,72,agent_7,7,5
0,7,72,agent_8,1,1
0,7,72,agent_9,7,7
0,7,73,agent_0,7,5
0,7,73,agent_1,7,7
0,7,73,agent_2,7,7
0,7,73,agent_3,7,1
0,7,73,agent_4,7,7
0,7,73,agent_5,1,1
0,7,73,agent_6,7,7
0,7,73,agent_7,7,5
0,7,73,agent_8,1,1
0,7,73,agent_9,7,7
0,7,74,agent_0,7,5
0,7,74,agent_1,7,7
0,7,74,agent_2,7,7
0,7,74,agent_3,7,1
0,7,74,agent_4,7,7
0,7,74,agent_5,1,1
0,7,74,agent_6,7,7
0,7,74,agent_7,7,5
0,7,74,agent_8,1,1
0,7,74,agent_9,7,7
0,7,75,agent_0,7,5
0,7,75,agent_1,7,7
0,7,75,agent_2,7,7
0,7,75,agent_3,7,1
0,7,75,agent_4,7,7
0,7,75,agent_5,1,1
0,7,75,agent_6,7,7
0,7,75,agent_7,7,5
0,7,75,agent_8,1,1
0,7,75,agent_9,7,7
0,7,76,agent_0,7,5
0,7,76,agent_1,7,7
0,7,76,agent_2,7,7
0,7,76,agent_3,7,1
0,7,76,agent_4,7,7
0,7,76,agent_5,1,1
0,7,76,agent_6,7,7
0,7,76,agent_7,7,5
0,7,76,agent_8,1,1
0,7,76,agent_9,7,7
0,7,77,agent_0,7,7
0,7,77,agent_1,7,7
0,7,77,agent_2,7,7
0,7,77,agent_3,7,1
0,7,77,agent_4,7,7
0,7,77,agent_5,1,1
0,7,77,agent_6,7,7
0,7,77,agent_7,7,5
0,7,77,agent_8,1,1
0,7,77,agent_9,7,7
0,7,78,agent_0,7,7
0,7,78,agent_1,7,7
0,7,78,agent_2,7,7
0,7,78,agent_3,7,1
0,7,78,agent_4,7,7
0,7,78,agent_5,1,1
0,7,78,agent_6,7,7
0,7,78,agent_7,7,5
0,7,78,agent_8,1,1
0,7,78,agent_9,7,7
0,7,79,agent_0,7,7
0,7,79,agent_1,7,7
0,7,79,agent_2,7,7
0,7,79,agent_3,7,1
0,7,79,agent_4,7,7
0,7,79,agent_5,1,1
0,7,79,agent_6,7,7
0,7,79,agent_7,7,5
0,7,79,agent_8,1,1
0,7,79,agent_9,7,7
0,7,80,agent_0,7,7
0,7,80,agent_1,7,7
0,7,80,agent_2,7,7
0,7,80,agent_3,7,1
0,7,80,agent_4,7,7
0,7,80,agent_5,1,1
0,7,80,agent_6,7,7
0,7,80,agent_7,7,7
0,7,80,agent_8,1,1
0,7,80,agent_9,7,7
0,7,81,agent_0,7,7
0,7,81,agent_1,7,7
0,7,81,agent_2,7,7
0,7,81,agent_3,7,1
0,7,81,agent_4,7,7
0,7,81,agent_5,1,1
0,7,81,agent_6,7,7
0,7,81,agent_7,7,7
0,7,81,agent_8,1,1
0,7,81,agent_9,7,7
0,7,82,agent_0,7,7
0,7,82,agent_1,7,7
0,7,82,agent_2,7,7
0,7,82,agent_3,7,1
0,7,82,agent_4,7,7
0,7,82,agent_5,1,1
0,7,82,agent_6,7,7
0,7,82,agent_7,7,7
0,7,82,agent_8,1,1
0,7,82,agent_9,7,7
0,7,83,agent_0,7,7
0,7,83,agent_1,7,7
0,7,83,agent_2,7,7
0,7,83,agent_3,7,1
0,7,83,agent_4,7,7
0,7,83,agent_5,1,1
0,7,83,agent_6,7,7
0,7,83,agent_7,7,7
0,7,83,agent_8,1,1
0,7,83,agent_9,7,7
0,7,84,agent_0,7,7
0,7,84,agent_1,7,7
0,7,84,agent_2,7,7
0,7,84,agent_3,7,1
0,7,84,agent_4,7,7
0,7,84,agent_5,1,1
0,7,84,agent_6,7,7
0,7,84,agent_7,7,7
0,7,84,agent_8,1,1
0,7,84,agent_9,7,7
0,7,85,agent_0,7,7
0,7,85,agent_1,7,7
0,7,85,agent_2,7,7
0,7,85,agent_3,7,1
0,7,85,agent_4,7,7
0,7,85,agent_5,1,1
0,7,85,agent_6,7,7
0,7,85,agent_7,7,7
0,7,85,agent_8,1,1
0,7,85,agent_9,7,7
0,7,86,agent_0,7,7
0,7,86,agent_1,7,7
0,7,86,agent_2,7,7
0,7,86,agent_3,7,1
0,7,86,agent_4,7,7
0,7,86,agent_5,1,1
0,7,86,agent_6,7,7
0,7,86,agent_7,7,7
0,7,86,agent_8,1,1
0,7,86,agent_9,7,7
0,7,87,agent_0,7,7
0,7,87,agent_1,7,7
0,7,87,agent_2,7,7
0,7,87,agent_3,7,1
0,7,87,agent_4,7,7
0,7,87,agent_5,1,1
0,7,87,agent_6,7,7
0,7,87,agent_7,7,7
0,7,87,agent_8,1,1
0,7,87,agent_9,7,7
0,7,88,agent_0,7,7
0,7,88,agent_1,7,7
0,7,88,agent_2,7,7
0,7,88,agent_3,7,1
0,7,88,agent_4,7,7
0,7,88,agent_5,7,1
0,7,88,agent_6,7,7
0,7,88,agent_7,7,7
0,7,88,agent_8,1,1
0,7,88,agent_9,7,7
0,7,89,agent_0,7,7
0,7,89,agent_1,7,7
0,7,89,agent_2,7,7
0,7,89,agent_3,7,1
0,7,89,agent_4,7,7
0,7,89,agent_5,7,1
0,7,89,agent_6,7,7
0,7,89,agent_7,7,7
0,7,89,agent_8,1,1
0,7,89,agent_9,7,7
0,7,90,agent_0,7,7
0,7,90,agent_1,7,7
0,7,90,agent_2,7,7
0,7,90,agent_3,7,1
0,7,90,agent_4,7,7
0,7,90,agent_5,7,1
0,7,90,agent_6,7,7
0,7,90,agent_7,7,7
0,7,90,agent_8,1,1
0,7,90,agent_9,7,7
0,7,91,agent_0,7,7
0,7,91,agent_1,7,7
0,7,91,agent_2,7,7
0,7,91,agent_3,7,1
0,7,91,agent_4,7,7
0,7,91,agent_5,7,1
0,7,91,agent_6,7,7
0,7,91,agent_7,7,7
0,7,91,agent_8,1,1
0,7,91,agent_9,7,7
0,7,92,agent_0,7,7
0,7,92,agent_1,7,7
0,7,92,agent_2,7,7
0,7,92,agent_3,7,1
0,7,92,agent_4,7,7
0,7,92,agent_5,7,1
0,7,92,agent_6,7,7
0,7,92,agent_7,7,7
0,7,92,agent_8,1,1
0,7,92,agent_9,7,7
0,7,93,agent_0,7,7
0,7,93,agent_1,7,7
0,7,93,agent_2,7,7
0,7,93,agent_3,7,1
0,7,93,agent_4,7,7
0,7,93,agent_5,7,1
0,7,93,agent_6,7,7
0,7,93,agent_7,7,7
0,7,93,agent_8,1,1
0,7,93,agent_9,7,7
